N° de ligne,Code Commande,Conforme RoHS ?,Votre référence produit,Remarques,Qté :,Référence Fabricant,Nom du fabricant,Fabricant / Description,Disponibilité,Prix unitaire,Prix,Prix avec remise
1,3372635,Directive RoHS: YES / PHTALATES: YES,,,1.0,2CDD282101R0016,ABB,"ABB  Interrupteur-sectionneur, pour rail DIN 2P 16A Série SD202/16",Pas en stock,52.6400,52.64,
2,2499478,Directive RoHS: YES / PHTALATES: YES,,,1.0,NSYAMRD24357TB,SCHNEIDER ELECTRIC,"SCHNEIDER ELECTRIC  Rail de montage DIN, Rail DIN, Schneider Electric Thalassa TBS & TBP Series Enclosures, 214 mm",75,3.0300,3.03,
3,2673647,Directive RoHS: YES / PHTALATES: YES,,,2.0,656-1209-304F.,DIALIGHT,"DIALIGHT  LED INDICATOR, PANEL, 12.7MM, GRN, 230V",67,19.9100,39.82,
4,2673656,Directive RoHS: YES / PHTALATES: YES,,,1.0,656-1309-303F,DIALIGHT,"DIALIGHT  LED INDICATOR, PANEL, 12.7MM, YEL, 230V",32,19.7600,19.76,
5,1871514,Directive RoHS: YES / PHTALATES: YES,,,1.0,557-1402-203F,DIALIGHT,"DIALIGHT  INDICATOR, LED PANEL MOUNT, RED/GREEN, 5V",73,17.2400,17.24,
6,3648728,Directive RoHS: YES / PHTALATES: YES,,,1.0,704.012.2,EAO,"EAO  Commutateur à bouton-poussoir, 22.5 mm, Off-(On), Rond, Rouge",10,12.7400,12.74,
,,,,,,,,,,,,
,,,,,,,Sous-total,145.23,,,,
,,,,,,,Total des marchandises,145.23,,,,
,,,,,,,Livraison,0.00,,,,
,,,,,,,Frais de livraison Newark ,18.00,,,,
,,,,,,,TVA,32.65,,,,
,,,,,,,Total,195.88,,,,
